         Wang 	         Zion 	     Jr.Staff 	   ND 	 40 	47000 	       Master 	  9
         Brown 	       Zillah 	        Staff 	   PA 	 36 	82000 	       Master 	  7
        Harris 	          Zed 	       Intern 	   WY 	 27 	17000 	         H.S. 	  1
          Frye 	       Zander 	       Intern 	   MN 	 53 	29000 	     Bachelor 	  1
        Wright 	       Zander 	        Staff 	   AZ 	 34 	67000 	       Master 	  2
    Huddleston 	      Zachary 	        Staff 	   NY 	 24 	100000 	       Master 	  6
          Chen 	        Yuval 	     Jr.Staff 	   DE 	 58 	59000 	     Bachelor 	  2
           Tal 	        Yuval 	       Intern 	   SC 	 67 	34000 	     Bachelor 	  1
       Shapira 	        Yuval 	       Intern 	   HI 	 20 	24000 	       Master 	  1
        Chazan 	        Yosef 	        Staff 	   PA 	 76 	104000 	     Bachelor 	  5
     Ben-David 	        Yosef 	     Jr.Staff 	   OR 	 63 	46000 	       Master 	  9
        Ochion 	        Yosef 	        Staff 	   CA 	 67 	61000 	     Bachelor 	  2
         Dahan 	        Yosef 	     Jr.Staff 	   UT 	 58 	44000 	    Associate 	 11
           Tal 	    Yehonatan 	     Jr.Staff 	   MN 	 31 	58000 	     Bachelor 	  5
      Yitzchak 	    Yehonatan 	        Staff 	   WA 	 52 	102000 	       Master 	  9
         Lewis 	   Yeardleigh 	        Staff 	   ND 	 34 	106000 	       Master 	  9
         Craig 	       Yasmin 	        Staff 	   NY 	 50 	85000 	         H.S. 	  6
          Lipe 	       Yadira 	        Staff 	   NY 	 30 	63000 	        Ph.D. 	  7
        Casper 	       Ximena 	        Staff 	   TX 	 76 	93000 	        Ph.D. 	 10
         Busch 	       Xavier 	     Jr.Staff 	   HI 	 48 	39000 	     Bachelor 	  2
      Cardwell 	       Xavier 	     Jr.Staff 	   HI 	 67 	50000 	     Bachelor 	  7
         Pitts 	       Xander 	        Staff 	   WA 	 20 	65000 	       Master 	  6
        Trahan 	       Xander 	        Staff 	   IL 	 22 	75000 	       Master 	  3
         Potts 	        Wyatt 	        Staff 	   NY 	 40 	63000 	         H.S. 	  3
        Gaston 	        Wyatt 	        Staff 	   GA 	 66 	73000 	       Master 	 10
        Looney 	        Wyatt 	        Staff 	   NH 	 46 	97000 	       Master 	 10
        Larsen 	        Wilma 	     Jr.Staff 	   KS 	 23 	52000 	     Bachelor 	  4
      Svensson 	        Wilma 	        Staff 	   CO 	 68 	73000 	       Master 	 10
       Larsson 	        Wilma 	       Intern 	   MT 	 28 	17000 	     Bachelor 	  1
        Watson 	      William 	       Intern 	   CA 	 63 	20000 	     Bachelor 	  1
      Champion 	      William 	        Staff 	   SD 	 38 	98000 	       Master 	 11
         Moore 	      William 	       Intern 	   CO 	 44 	28000 	       Master 	  1
         Reese 	      William 	        Staff 	   UT 	 48 	61000 	     Bachelor 	  7
          Fuss 	    Wilhemina 	       Intern 	   FL 	 70 	17000 	     Bachelor 	  1
      Bergeron 	       Weston 	       Intern 	   VT 	 45 	28000 	       Master 	  1
        Mosher 	       Wesley 	        Staff 	   GA 	 24 	92000 	       Master 	  1
       Jimenez 	       Wesley 	     Jr.Staff 	   HI 	 65 	54000 	     Bachelor 	  6
       Goddard 	       Wesley 	        Staff 	   NY 	 45 	73000 	       Master 	 10
       Perkins 	       Wesley 	        Staff 	   CA 	 59 	74000 	       Master 	  5
       English 	       Wesley 	       Intern 	   CO 	 52 	19000 	     Bachelor 	  1
     Mccasland 	       Werner 	     Jr.Staff 	   MD 	 52 	36000 	    Associate 	 10
         Riker 	          Wan 	       Intern 	   MA 	 28 	31000 	     Bachelor 	  2
       Roberts 	       Walter 	        Staff 	   ID 	 41 	70000 	       Master 	  6
